data,produto,vendas,preco_unitario
2024-01-01,Carregador,11,128
2024-01-01,Relógio Smart,9,956
2024-01-01,Fone,19,129
2024-01-01,Carregador,1,111
2024-01-01,Capinha,1,46
2024-01-01,Celular,12,2979
2024-01-01,Celular,19,2228
2024-01-01,Relógio Smart,9,1006
2024-01-01,Fone,16,279
2024-01-01,Relógio Smart,13,304
2024-01-01,Película,9,48
2024-01-01,Carregador,8,75
2024-01-02,Celular,11,2040
2024-01-02,Carregador,16,92
2024-01-02,Capinha,3,31
2024-01-02,Carregador,16,45
2024-01-02,Cabo USB,12,57
2024-01-02,Carregador,19,50
2024-01-02,Película,16,38
2024-01-02,Capinha,18,40
2024-01-02,Película,11,44
2024-01-02,Película,5,22
2024-01-02,Fone,11,137
2024-01-02,Fone,4,71
2024-01-02,Fone,8,109
2024-01-02,Capinha,5,60
2024-01-03,Carregador,18,149
2024-01-03,Fone,5,106
2024-01-03,Caixa de Som,2,207
2024-01-03,Celular,2,1509
2024-01-03,Relógio Smart,16,686
2024-01-03,Película,8,30
2024-01-03,Cabo USB,11,17
2024-01-03,Celular,3,1134
2024-01-03,Relógio Smart,19,1270
2024-01-03,Fone,15,202
2024-01-03,Celular,16,2092
2024-01-03,Película,4,38
2024-01-03,Capinha,3,51
2024-01-04,Cabo USB,1,51
2024-01-04,Fone,2,119
2024-01-04,Fone,13,226
2024-01-04,Capinha,4,26
2024-01-04,Relógio Smart,9,1167
2024-01-04,Fone,5,285
2024-01-04,Fone,12,265
2024-01-04,Película,5,40
2024-01-04,Película,18,31
2024-01-04,Capinha,2,46
2024-01-04,Fone,11,172
2024-01-04,Carregador,5,40
2024-01-04,Capinha,19,37
2024-01-04,Película,10,34
2024-01-04,Capinha,17,51
2024-01-04,Relógio Smart,4,632
2024-01-04,Capinha,18,47
2024-01-04,Capinha,12,51
2024-01-05,Fone,5,222
2024-01-05,Carregador,18,46
2024-01-05,Película,2,25
2024-01-05,Celular,1,2871
2024-01-05,Caixa de Som,7,172
